file,case,title
"200010/臺灣高等法院刑事/TPHM,89,上訴,4013,20001018,1.json",上訴,違反廢棄物清理法
"200010/臺灣高等法院刑事/TPHM,89,上訴,4059,20001013,1.json",上訴,違反廢棄物清理法
"200010/臺灣高等法院刑事/TPHM,89,上訴,4306,20001011,1.json",上訴,違反廢棄物清理法等
"200010/臺灣高等法院刑事/TPHM,90,上訴,204,20001021,1.json",上訴,違反廢棄物清理法
"200010/臺灣高等法院高雄分院刑事/KSHM,89,上訴,1587,20001019,1.json",上訴,違反廢棄物清理法
"200010/臺灣高等法院高雄分院刑事/KSHM,89,上訴,1656,20001012,1.json",上訴,違反廢棄物清理法
"200010/臺灣高等法院高雄分院刑事/KSHM,89,上訴,1656,20001012,2.json",上訴,違反廢棄物清理法
"200010/臺灣高等法院高雄分院刑事/KSHM,89,上訴,1660,20001016,1.json",上訴,違反廢棄物清理法
"200010/臺灣高雄地方法院刑事/KSDM,89,訴,1380,20001016.json",訴,違反廢棄物清理法
"200010/臺灣高雄地方法院刑事/KSDM,89,訴,1949,20001017.json",訴,違反廢棄物清理法
"200010/臺灣高雄地方法院刑事/KSDM,89,訴,1950,20001012.json",訴,違反廢棄物清理法
"200010/臺灣高雄地方法院刑事/KSDM,89,訴,1999,20001016.json",訴,違反廢棄物清理法
"200010/臺灣高雄地方法院刑事/KSDM,89,訴,896,20001019.json",訴,違反廢棄物清理法
"200011/臺灣屏東地方法院刑事/PTDM,89,訴,444,20001116.json",訴,違反廢棄物清理法
"200011/臺灣屏東地方法院刑事/PTDM,89,訴,618,20001130.json",訴,違反廢棄物清理法
"200011/臺灣桃園地方法院刑事/TYDM,89,訴,1057,20001127.json",訴,違反廢棄物清理法
"200011/臺灣桃園地方法院刑事/TYDM,89,訴,837,20001130.json",訴,違反廢棄物清理法
"200011/臺灣臺北地方法院刑事/TPDM,89,簡,1471,20001127,1.json",簡,違反廢棄物清理法
"200011/臺灣臺北地方法院刑事/TPDM,89,簡,1471,20001127.json",簡,違反廢棄物清理法
"200011/臺灣苗栗地方法院刑事/MLDM,89,訴,136,20001106.json",訴,違反廢棄物清理法
"200011/臺灣苗栗地方法院刑事/MLDM,89,訴,272,20001130.json",訴,違反廢棄物清理法
"200011/臺灣苗栗地方法院刑事/MLDM,89,訴,290,20001121.json",訴,違反廢棄物清理法
"200011/臺灣苗栗地方法院刑事/MLDM,89,訴,304,20001108.json",訴,違反廢棄物清理法
"200011/臺灣苗栗地方法院刑事/MLDM,89,訴,323,20001120.json",訴,違反廢棄物清理法
